IRI Week,Calendar week starting on,Calendar week ending on,,Calendar date,IRI Week
1741,"January 7, 2013","January 13, 2013",,,
1742,"January 14, 2013","January 20, 2013",,,
1743,"January 21, 2013","January 27, 2013",,,
1744,"January 28, 2013","February 3, 2013",,,
1745,"February 4, 2013","February 10, 2013",,,
1746,"February 11, 2013","February 17, 2013",,,
1747,"February 18, 2013","February 24, 2013",,,
1748,"February 25, 2013","March 3, 2013",,,
1749,"March 4, 2013","March 10, 2013",,,
1750,"March 11, 2013","March 17, 2013",,,
1751,"March 18, 2013","March 24, 2013",,,
1752,"March 25, 2013","March 31, 2013",,,
1753,"April 1, 2013","April 7, 2013",,,
1754,"April 8, 2013","April 14, 2013",,,
1755,"April 15, 2013","April 21, 2013",,,
1756,"April 22, 2013","April 28, 2013",,,
1757,"April 29, 2013","May 5, 2013",,,
1758,"May 6, 2013","May 12, 2013",,,
1759,"May 13, 2013","May 19, 2013",,,
1760,"May 20, 2013","May 26, 2013",,,
1761,"May 27, 2013","June 2, 2013",,,
1762,"June 3, 2013","June 9, 2013",,,
1763,"June 10, 2013","June 16, 2013",,,
1764,"June 17, 2013","June 23, 2013",,,
1765,"June 24, 2013","June 30, 2013",,,
1766,"July 1, 2013","July 7, 2013",,,
1767,"July 8, 2013","July 14, 2013",,,
1768,"July 15, 2013","July 21, 2013",,,
1769,"July 22, 2013","July 28, 2013",,,
1770,"July 29, 2013","August 4, 2013",,,
1771,"August 5, 2013","August 11, 2013",,,
1772,"August 12, 2013","August 18, 2013",,,
1773,"August 19, 2013","August 25, 2013",,,
1774,"August 26, 2013","September 1, 2013",,,
1775,"September 2, 2013","September 8, 2013",,,
1776,"September 9, 2013","September 15, 2013",,,
1777,"September 16, 2013","September 22, 2013",,,
1778,"September 23, 2013","September 29, 2013",,,
1779,"September 30, 2013","October 6, 2013",,,
1780,"October 7, 2013","October 13, 2013",,,
1781,"October 14, 2013","October 20, 2013",,,
1782,"October 21, 2013","October 27, 2013",,,
1783,"October 28, 2013","November 3, 2013",,,
1784,"November 4, 2013","November 10, 2013",,,
1785,"November 11, 2013","November 17, 2013",,,
1786,"November 18, 2013","November 24, 2013",,,
1787,"November 25, 2013","December 1, 2013",,,
1788,"December 2, 2013","December 8, 2013",,,
1789,"December 9, 2013","December 15, 2013",,,
1790,"December 16, 2013","December 22, 2013",,,
1791,"December 23, 2013","December 29, 2013",,,
1792,"December 30, 2013","January 5, 2014",,,
1793,"January 6, 2014","January 12, 2014",,,
1794,"January 13, 2014","January 19, 2014",,,
1795,"January 20, 2014","January 26, 2014",,,
1796,"January 27, 2014","February 2, 2014",,,
1797,"February 3, 2014","February 9, 2014",,,
1798,"February 10, 2014","February 16, 2014",,,
1799,"February 17, 2014","February 23, 2014",,,
1800,"February 24, 2014","March 2, 2014",,,
1801,"March 3, 2014","March 9, 2014",,,
1802,"March 10, 2014","March 16, 2014",,,
1803,"March 17, 2014","March 23, 2014",,,
1804,"March 24, 2014","March 30, 2014",,,
1805,"March 31, 2014","April 6, 2014",,,
1806,"April 7, 2014","April 13, 2014",,,
1807,"April 14, 2014","April 20, 2014",,,
1808,"April 21, 2014","April 27, 2014",,,
1809,"April 28, 2014","May 4, 2014",,,
1810,"May 5, 2014","May 11, 2014",,,
1811,"May 12, 2014","May 18, 2014",,,
1812,"May 19, 2014","May 25, 2014",,,
1813,"May 26, 2014","June 1, 2014",,,
1814,"June 2, 2014","June 8, 2014",,,
1815,"June 9, 2014","June 15, 2014",,,
1816,"June 16, 2014","June 22, 2014",,,
1817,"June 23, 2014","June 29, 2014",,,
1818,"June 30, 2014","July 6, 2014",,,
1819,"July 7, 2014","July 13, 2014",,,
1820,"July 14, 2014","July 20, 2014",,,
1821,"July 21, 2014","July 27, 2014",,,
1822,"July 28, 2014","August 3, 2014",,,
1823,"August 4, 2014","August 10, 2014",,,
1824,"August 11, 2014","August 17, 2014",,,
1825,"August 18, 2014","August 24, 2014",,,
1826,"August 25, 2014","August 31, 2014",,,
1827,"September 1, 2014","September 7, 2014",,,
1828,"September 8, 2014","September 14, 2014",,,
1829,"September 15, 2014","September 21, 2014",,,
1830,"September 22, 2014","September 28, 2014",,,
1831,"September 29, 2014","October 5, 2014",,,
1832,"October 6, 2014","October 12, 2014",,,
1833,"October 13, 2014","October 19, 2014",,,
1834,"October 20, 2014","October 26, 2014",,,
1835,"October 27, 2014","November 2, 2014",,,
1836,"November 3, 2014","November 9, 2014",,,
1837,"November 10, 2014","November 16, 2014",,,
1838,"November 17, 2014","November 23, 2014",,,
1839,"November 24, 2014","November 30, 2014",,,
1840,"December 1, 2014","December 7, 2014",,,
1841,"December 8, 2014","December 14, 2014",,,
1842,"December 15, 2014","December 21, 2014",,,
1843,"December 22, 2014","December 28, 2014",,,
1844,"December 29, 2014","January 4, 2015",,,
1845,"January 5, 2015","January 11, 2015",,,
1846,"January 12, 2015","January 18, 2015",,,
1847,"January 19, 2015","January 25, 2015",,,
1848,"January 26, 2015","February 1, 2015",,,
1849,"February 2, 2015","February 8, 2015",,,
1850,"February 9, 2015","February 15, 2015",,,
1851,"February 16, 2015","February 22, 2015",,,
1852,"February 23, 2015","March 1, 2015",,,
1853,"March 2, 2015","March 8, 2015",,,
1854,"March 9, 2015","March 15, 2015",,,
1855,"March 16, 2015","March 22, 2015",,,
1856,"March 23, 2015","March 29, 2015",,,
1857,"March 30, 2015","April 5, 2015",,,
1858,"April 6, 2015","April 12, 2015",,,
1859,"April 13, 2015","April 19, 2015",,,
1860,"April 20, 2015","April 26, 2015",,,
1861,"April 27, 2015","May 3, 2015",,,
1862,"May 4, 2015","May 10, 2015",,,
1863,"May 11, 2015","May 17, 2015",,,
1864,"May 18, 2015","May 24, 2015",,,
1865,"May 25, 2015","May 31, 2015",,,
1866,"June 1, 2015","June 7, 2015",,,
1867,"June 8, 2015","June 14, 2015",,,
1868,"June 15, 2015","June 21, 2015",,,
1869,"June 22, 2015","June 28, 2015",,,
1870,"June 29, 2015","July 5, 2015",,,
1871,"July 6, 2015","July 12, 2015",,,
1872,"July 13, 2015","July 19, 2015",,,
1873,"July 20, 2015","July 26, 2015",,,
1874,"July 27, 2015","August 2, 2015",,,
1875,"August 3, 2015","August 9, 2015",,,
1876,"August 10, 2015","August 16, 2015",,,
1877,"August 17, 2015","August 23, 2015",,,
1878,"August 24, 2015","August 30, 2015",,,
1879,"August 31, 2015","September 6, 2015",,,
1880,"September 7, 2015","September 13, 2015",,,
1881,"September 14, 2015","September 20, 2015",,,
1882,"September 21, 2015","September 27, 2015",,,
1883,"September 28, 2015","October 4, 2015",,,
1884,"October 5, 2015","October 11, 2015",,,
1885,"October 12, 2015","October 18, 2015",,,
1886,"October 19, 2015","October 25, 2015",,,
1887,"October 26, 2015","November 1, 2015",,,
1888,"November 2, 2015","November 8, 2015",,,
1889,"November 9, 2015","November 15, 2015",,,
1890,"November 16, 2015","November 22, 2015",,,
1891,"November 23, 2015","November 29, 2015",,,
